kepid,tce_plnt_num,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err,av_training_set
4079482,3,,0.726411,0.0,131.657,0.0,0.1,0.0,2.5,0.0,412.2,0.0,-1.0,4.695,0.0,3810.0,0.0,,,8026.0,315.0,4.01,0.3,2.282,1.087,AFP
6716021,1,,110.756,0.000114884,144.8,0.000786016,0.9132,0.003445,6.547,0.03181,8413.0,93.49,105.8,12.91,0.1758,448.0,134.0,,,6528.0,246.0,4.38,0.34,1.155,0.683,PC
6762992,2,,0.562156,2.5587e-05,131.674,0.00397436,0.2097,45.8,1.421,1.201,228.9,76.39,4.879,5.206,9.949,4810.0,900.0,,,7666.0,302.0,3.67,0.29,3.404,1.244,AFP
10120971,1,,541.945,0.014326,442.273,0.0168907,0.06049,179.2,7.451,3.313,546.3,121.0,7.574,3.866,7.688,318.0,87.2,,,6714.0,221.0,4.13,0.31,1.642,0.895,UNK
8560285,1,,85.3409,2.89061e-05,215.53,0.000301559,0.7899,0.003162,10.61,0.01639,51250.0,87.75,876.5,23.1,0.1088,409.0,81.4,,,6004.0,205.0,4.52,0.29,0.898,0.352,AFP
6716670,2,,2.30206,2.17783e-05,132.721,0.0041002,0.7,1.189,7.534,3.771,112.2,8.763,12.98,2.712,0.7352,2630.0,547.0,,,7904.0,305.0,3.95,0.25,2.39,0.978,NTP
9157030,1,,24.9094,0.000303473,155.383,0.00958057,0.1753,42.72,3.878,0.607,334.2,38.17,8.959,1.227,2.899,455.0,31.9,,,4810.0,157.0,4.62,0.07,0.694,0.086,PC
7259249,2,,0.950693,8.94599e-06,131.81,0.00196784,0.2904,16.31,1.317,0.132,129.7,16.67,11.71,1.154,1.266,1910.0,451.0,,,6039.0,257.0,4.48,0.32,1.005,0.467,AFP
3102024,1,,13.7825,2.42129e-07,139.481,1.58055e-05,0.7148,0.008827,8.275,0.001517,249900.0,32.17,8122.0,41.78,0.3948,605.0,45.1,,,5246.0,168.0,4.6,0.07,0.668,0.09,AFP
6949326,1,,457.925,0.0124393,472.157,0.01657,0.1131,79.2,8.715,3.458,602.8,110.4,6.434,1.301,2.797,129.0,6.35,,,3900.0,63.0,4.73,0.06,0.537,0.05,UNK
8751056,2,,3.96368,3.9843e-05,132.167,0.00669251,0.7955,0.3518,12.85,4.468,19.41,1.968,10.18,1.024,0.14,2040.0,493.0,,,7700.0,297.0,4.02,0.28,2.111,1.007,AFP
8826102,1,,1.37139,1.48065e-05,132.62,0.00370364,0.001814,4547.0,2.34,0.8496,20.23,9.58,7.348,0.7083,1.001,2390.0,872.0,,,7161.0,308.0,4.21,0.41,1.555,1.129,NTP
5385410,2,,12.4261,0.000207999,141.495,0.0133149,0.8284,0.239,17.86,0.7284,65.65,4.388,14.73,1.366,0.1663,1030.0,276.0,,,6290.0,213.0,4.13,0.27,1.506,0.8,AFP
10068024,1,,2.02309,6.69981e-06,132.083,0.00135094,0.5009,1.842,1.332,0.05033,62.01,4.594,16.92,0.8768,0.2069,1620.0,416.0,,,6338.0,234.0,4.4,0.31,1.075,0.545,AFP
9347494,1,,0.931541,9.46152e-06,131.699,0.00171623,0.4941,1.526,2.979,0.6425,43.43,4.593,10.73,1.345,0.243,3110.0,733.0,,,7353.0,311.0,4.03,0.27,1.972,0.914,AFP
7533694,3,,0.675343,7.05512e-05,132.021,0.0318195,0.8701,2.675,2.56,23.97,4.56,3.032,1.983,0.7342,1.117,4430.0,710.0,,,8076.0,326.0,3.82,0.25,3.017,0.937,AFP
9027841,1,,0.503974,2.34533e-05,131.645,0.00307349,0.7099,2.185,0.8501,0.2352,42.25,12.57,5.454,0.4004,0.3077,1610.0,75.8,,,4898.0,163.0,4.69,0.05,0.568,0.038,AFP
9083470,1,,0.918443,9.09902e-06,131.575,0.00333652,0.322,13.61,3.165,3.163,159.9,17.25,11.97,0.9303,1.162,1530.0,213.0,,,5284.0,213.0,4.61,0.15,0.741,0.198,AFP
10604429,2,,0.564809,2.2772e-05,132.03,0.011031,0.9132,1.361,1.776,12.25,14.69,3.61,6.238,1.949,2.26,5350.0,1060.0,,,7841.0,316.0,3.56,0.29,4.313,1.667,UNK
7287995,2,,12.0399,1.50532e-05,133.066,0.00101719,0.4363,1.388,2.762,0.1191,1238.0,24.93,58.44,2.214,0.5354,502.0,18.0,,,4260.0,88.0,4.64,0.04,0.634,0.037,PC
